,Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
0,2007-01-02,0.9714,0.035,0.8959999999999999,0.069,3966.25,4016.65,3964.95,4007.4,40789960
1,2007-01-03,-0.3111,0.054000000000000006,0.8859999999999999,0.06,4007.7,4029.8,3985.0,4024.05,63826475
2,2007-01-04,0.128,0.07,0.853,0.077,4027.3,4041.0,3979.8,3988.8,67096186
3,2007-01-05,-0.9109999999999999,0.054000000000000006,0.902,0.044000000000000004,3990.15,4011.45,3969.65,3983.4,69146575
4,2007-01-08,0.9815,0.038,0.8859999999999999,0.076,3983.3,3987.45,3913.0,3933.4,63615668
5,2007-01-09,0.9735,0.036000000000000004,0.889,0.075,3933.3,3963.75,3890.75,3911.4,65321592
6,2007-01-10,0.9962,0.023,0.872,0.105,3910.95,3911.95,3841.7,3850.3,68470689
7,2007-01-11,0.9644,0.05,0.873,0.077,3852.15,3953.1,3833.6,3942.25,83152375
8,2007-01-12,0.9549,0.059000000000000004,0.866,0.07400000000000001,3944.55,4059.15,3944.55,4052.45,81362992
9,2007-01-15,0.9761,0.028999999999999998,0.9,0.071,4052.85,4099.65,4052.4,4078.4,81723925
10,2007-01-16,0.9955,0.021,0.8859999999999999,0.09300000000000001,4090.7,4107.45,4067.9,4080.5,60251260
11,2007-01-17,0.9931,0.047,0.84,0.113,4084.9,4096.75,4071.55,4076.45,59073863
12,2007-01-18,0.9913,0.046,0.863,0.09,4075.2,4140.25,4075.2,4109.05,75646344
13,2007-01-19,0.9858,0.052000000000000005,0.8540000000000001,0.094,4126.0,4137.15,4058.35,4090.15,85555366
14,2007-01-22,0.9823,0.022000000000000002,0.899,0.079,4089.6,4114.5,4069.95,4102.45,63758853
15,2007-01-23,0.9858,0.039,0.877,0.084,4102.65,4105.1,4056.45,4066.1,80442797
16,2007-01-24,0.9657,0.05,0.8759999999999999,0.07400000000000001,4066.6,4098.25,4065.75,4089.9,90298316
17,2007-01-25,0.9846,0.054000000000000006,0.85,0.096,4092.05,4157.95,4090.1,4147.7,130890355
18,2007-01-29,0.9655,0.023,0.914,0.063,4148.4,4167.15,4115.75,4124.45,94946217
19,2007-01-31,0.9984,0.025,0.835,0.139,4123.85,4137.85,4068.55,4082.7,114992600
20,2007-02-01,0.985,0.045,0.8690000000000001,0.086,4083.4,4141.6,4081.1,4137.2,73460198
21,2007-02-02,0.9868,0.036000000000000004,0.871,0.09300000000000001,4140.2,4198.7,4132.95,4183.5,92547027
22,2007-02-05,0.9858,0.037000000000000005,0.8759999999999999,0.087,4193.15,4219.0,4170.0,4215.35,62178023
23,2007-02-06,0.9739,0.051,0.858,0.091,4216.55,4228.15,4186.15,4195.9,64125214
24,2007-02-07,0.9793,0.038,0.8690000000000001,0.09300000000000001,4198.2,4232.3,4192.85,4224.25,66702277
25,2007-02-08,0.9903,0.043,0.838,0.11900000000000001,4232.0,4245.3,4188.45,4223.4,69459583
26,2007-02-09,0.9764,0.02,0.8859999999999999,0.095,4223.5,4239.2,4171.8,4187.4,66107054
27,2007-02-12,0.9563,0.063,0.856,0.081,4187.2,4187.2,4044.35,4058.3,91427563
28,2007-02-13,0.9915,0.03,0.879,0.091,4069.1,4132.7,3998.3,4044.55,97888267
29,2007-02-14,0.8718,0.057999999999999996,0.8690000000000001,0.073,4044.9,4057.35,3965.2,4047.1,82077938
30,2007-02-15,-0.9404,0.055,0.9129999999999999,0.032,4046.8,4155.7,4046.8,4146.2,77344389
31,2007-02-19,-0.8865,0.084,0.846,0.07,4149.25,4177.7,4149.25,4164.55,59419122
32,2007-02-20,0.9599,0.047,0.879,0.07400000000000001,4164.85,4175.45,4099.55,4106.95,63235945
33,2007-02-21,0.8738,0.08199999999999999,0.81,0.10800000000000001,4107.15,4132.8,4080.9,4096.2,72693724
